seed         : /home/bruno/src/homemaker-layout/examples/health-centre/init.dom
programme    : health-centre
budget       : 500000
pop          : 16
child_budget : 80
workers      : 1
rng seed     : 0
leaf sharing : True (factor=3)
superpose    : False
multi_use    : False
conn grade   : False
use tiers    : False
bridge circulation : False
ruin recreate      : False
collapse in-search : True
shapecurve warmstart : False
shapecurve prune     : False
output       : /home/bruno/src/homemaker-layout/examples/health-centre/coldstart-500000-s0.dom
[    80 evals] best 8.18513e-10 (fails 22) via construct/0
[  1920 evals] best 1.44035e-09 (fails 21) via level_compound_fix noop
[  2720 evals] best 2.97297e-09 (fails 21) via place_missing t9 -> rlrll
[  2880 evals] best 3.17196e-09 (fails 21) via crossover rrlrr<->llrrl
[  2960 evals] best 3.38093e-09 (fails 21) via level_retype noop
[  3280 evals] best 3.95337e-08 (fails 18) via place_missing me1 -> lrrrr
[  3440 evals] best 1.55555e-07 (fails 16) via place_missing mo1 -> lrrrr
[  4480 evals] best 1.63054e-07 (fails 16) via level_delete noop
[  4960 evals] best 1.68058e-07 (fails 16) via core_divide noop
[  5200 evals] best 1.73172e-07 (fails 16) via level_compound_fix noop
[  6480 evals] best 1.32598e-05 (fails 9) via crossover rrll<->lllr
[  8160 evals] best 1.5086e-05 (fails 9) via core_divide noop
[  8800 evals] best 1.59072e-05 (fails 9) via swap 0/rrlr
[  9280 evals] best 1.68254e-05 (fails 9) via core_divide noop
[  9360 evals] best 1.79867e-05 (fails 9) via swap 0/rllr
[ 11280 evals] best 1.9237e-05 (fails 8) via level_delete noop
[ 12800 evals] best 3.78619e-05 (fails 8) via retype 0/rrlrr->tr1
[ 13040 evals] best 0.000117921 (fails 6) via swap 0/llll
[ 13360 evals] best 0.000135727 (fails 6) via level_compound_fix noop
[ 14080 evals] best 0.0002732 (fails 5) via crossover rrrr<->rllr
[ 15040 evals] best 0.000306904 (fails 5) via level_retype noop
[ 15840 evals] best 0.000324217 (fails 5) via retype 0/lllrl->qr1
[ 16160 evals] best 0.000342695 (fails 5) via level_fix noop
[ 20400 evals] best 0.000360157 (fails 5) via level_delete noop
[ 20960 evals] best 0.000378411 (fails 5) via level_compound_fix noop
[ 21360 evals] best 0.000141908 (fails 4) via crossover rrll<->llll
[ 22080 evals] best 0.000169723 (fails 4) via core_undivide noop
[ 22400 evals] best 0.000170498 (fails 4) via rotate 0/lrrrr
[ 23200 evals] best 0.000181366 (fails 4) via level_compound_fix noop
[ 26560 evals] best 0.000182185 (fails 4) via level_compound_fix noop
[ 27520 evals] best 0.000194431 (fails 4) via level_fix noop
[ 28320 evals] best 0.000206958 (fails 4) via core_divide noop
[ 29120 evals] best 0.000220107 (fails 4) via level_retype noop
[ 31760 evals] best 0.000230833 (fails 4) via core_divide noop
[ 32000 evals] best 0.000395146 (fails 3) via crossover rllrl<->rrlrr
[ 32320 evals] best 0.000420102 (fails 3) via swap 0/rrlr
[ 32960 evals] best 0.000439878 (fails 3) via crossover rrrrr<->llllrr
[ 33120 evals] best 0.000458971 (fails 3) via level_fix noop
[ 34160 evals] best 0.000478749 (fails 3) via level_fix noop
[ 34640 evals] best 0.000744 (fails 3) via undivide 0/lrlr
[ 39280 evals] best 0.000770381 (fails 3) via level_fix noop
[ 40800 evals] best 0.00079688 (fails 3) via level_compound_fix noop
[ 40880 evals] best 0.000821741 (fails 3) via core_undivide noop
[ 41200 evals] best 0.000841435 (fails 3) via core_undivide noop
[ 46480 evals] best 0.000867499 (fails 3) via level_delete noop
[ 47360 evals] best 0.00127332 (fails 3) via crossover rlrrr<->rrllrl
[ 50880 evals] best 0.00131277 (fails 3) via crossover rrrlr<->rrllrl
[ 52240 evals] best 0.0013505 (fails 3) via core_undivide noop
[ 53120 evals] best 0.00137937 (fails 3) via level_retype noop
[ 53840 evals] best 0.00139966 (fails 3) via level_retype noop
[ 57040 evals] best 0.00142768 (fails 3) via core_divide noop
[ 59920 evals] best 0.00145592 (fails 3) via level_compound_fix noop
[ 60080 evals] best 0.00148344 (fails 3) via level_fix noop
[ 65920 evals] best 0.00151078 (fails 3) via level_retype noop
[ 68720 evals] best 0.00154496 (fails 3) via core_undivide noop
[ 68880 evals] best 0.00157101 (fails 3) via retype 0/rrrrr->dp1
[ 70480 evals] best 0.00159557 (fails 3) via crossover lrlll<->lrlll
[ 70640 evals] best 0.00161909 (fails 3) via level_fix noop
[ 70880 evals] best 0.00164187 (fails 3) via core_divide noop
[ 75200 evals] best 0.0016633 (fails 3) via crossover rlrlr<->rlrlr
[ 75760 evals] best 0.00168434 (fails 3) via core_undivide noop
[ 76080 evals] best 0.00172043 (fails 3) via level_compound_fix noop
[ 77360 evals] best 0.00174777 (fails 3) via level_fix noop
[ 77440 evals] best 0.00175949 (fails 3) via core_undivide noop
[ 81360 evals] best 0.00178352 (fails 3) via crossover rrll<->llll
[ 81440 evals] best 0.00181117 (fails 3) via level_fix noop
[ 84000 evals] best 0.00181757 (fails 3) via crossover lllll<->llrlr
[ 87920 evals] best 0.00181815 (fails 3) via core_divide noop
