seed         : /home/bruno/src/homemaker-layout/examples/health-centre/init.dom
programme    : health-centre
budget       : 500000
pop          : 16
child_budget : 80
workers      : 1
rng seed     : 2
leaf sharing : True (factor=3)
superpose    : False
multi_use    : False
conn grade   : False
use tiers    : False
bridge circulation : False
ruin recreate      : False
collapse in-search : True
shapecurve warmstart : False
shapecurve prune     : False
output       : /home/bruno/src/homemaker-layout/examples/health-centre/coldstart-500000-s2.dom
[    80 evals] best 1.06231e-09 (fails 28) via construct/0
[   160 evals] best 1.20227e-09 (fails 28) via construct/1
[   240 evals] best 2.78603e-09 (fails 27) via construct/2
[   560 evals] best 3.17002e-09 (fails 27) via construct/6
[  1040 evals] best 7.78691e-07 (fails 19) via construct/12
[  2080 evals] best 1.52049e-06 (fails 18) via rotate 0/lrrl
[  3440 evals] best 1.55674e-06 (fails 18) via core_undivide noop
[  4800 evals] best 1.56908e-06 (fails 18) via core_divide noop
[  5200 evals] best 1.57751e-06 (fails 18) via level_compound_fix noop
[  5440 evals] best 1.58415e-06 (fails 18) via rotate 0/rlll
[  7040 evals] best 3.07785e-06 (fails 17) via level_compound_fix noop
[  8880 evals] best 2.41341e-05 (fails 14) via crossover rlrrr<->rrrl
[  9680 evals] best 4.7243e-05 (fails 13) via core_divide noop
[ 12160 evals] best 4.83643e-05 (fails 13) via swap 0/rlrl
[ 12320 evals] best 4.90022e-05 (fails 13) via core_undivide noop
[ 14800 evals] best 4.9355e-05 (fails 13) via core_divide noop
[ 15360 evals] best 4.96649e-05 (fails 13) via crossover llrl<->rlrl
[ 15920 evals] best 4.99274e-05 (fails 13) via level_delete noop
[ 16160 evals] best 5.13472e-05 (fails 13) via core_undivide noop
[ 18880 evals] best 5.16972e-05 (fails 13) via swap 0/lrlr
[ 18960 evals] best 5.20826e-05 (fails 13) via level_retype noop
[ 19280 evals] best 5.23172e-05 (fails 13) via level_fix noop
[ 19600 evals] best 9.50371e-05 (fails 12) via swap 0/llrr
[ 20640 evals] best 9.55289e-05 (fails 12) via core_undivide noop
[ 22400 evals] best 9.59227e-05 (fails 12) via crossover rlrrl<->rrlrl
[ 23200 evals] best 9.63113e-05 (fails 12) via core_divide noop
[ 25840 evals] best 9.69762e-05 (fails 12) via core_undivide noop
[ 25840 evals] checkpoint -> coldstart-500000-s2.dom.checkpoint (12 fails)
[ 26080 evals] best 9.75244e-05 (fails 12) via core_divide noop
[ 28400 evals] best 9.75426e-05 (fails 12) via level_fix noop
[ 28480 evals] best 9.85282e-05 (fails 12) via retype 0/lrlrr->t10
[ 29120 evals] best 9.8896e-05 (fails 12) via level_delete noop
[ 31440 evals] best 9.92662e-05 (fails 12) via core_divide noop
[ 32400 evals] best 9.97908e-05 (fails 12) via rotate 0/rlll
