seed         : /home/bruno/src/homemaker-layout/examples/programme-house/init.dom
programme    : programme-house
budget       : 500000
pop          : 16
child_budget : 80
workers      : 1
rng seed     : 2
leaf sharing : True (factor=3)
superpose    : False
multi_use    : False
conn grade   : False
use tiers    : False
bridge circulation : False
ruin recreate      : False
collapse in-search : True
shapecurve warmstart : False
shapecurve prune     : False
output       : /home/bruno/src/homemaker-layout/examples/programme-house/coldstart-500000-s2.dom
[    80 evals] best 1.23691e-06 (fails 14) via construct/0
[   160 evals] best 2.15432e-06 (fails 13) via construct/1
[   240 evals] best 4.936e-06 (fails 12) via construct/2
[   880 evals] best 6.54696e-06 (fails 12) via construct/10
[  1360 evals] best 2.06682e-05 (fails 10) via place_missing noop
[  1760 evals] best 2.81576e-05 (fails 10) via swap 0/rl
[  1840 evals] best 5.36672e-05 (fails 9) via core_divide noop
[  5280 evals] best 5.40371e-05 (fails 9) via level_compound_fix noop
[  6400 evals] best 0.000123995 (fails 8) via undivide 0/ll
[  6880 evals] best 0.000374235 (fails 6) via level_retype 0/lrr<->1/lr
[  7200 evals] best 0.00106131 (fails 5) via divide 1/rl
[  7440 evals] best 0.00106226 (fails 5) via level_retype 0/rlr<->1/rr
[  8560 evals] best 0.00210057 (fails 4) via undivide 1/rl
[  9760 evals] best 0.00210095 (fails 4) via crossover lrl<->rlr
[ 10160 evals] best 0.00218975 (fails 4) via rotate 0/root
[ 11040 evals] best 0.00221778 (fails 4) via level_compound_fix noop
[ 12080 evals] best 0.00221862 (fails 4) via crossover rll<->rll
[ 21040 evals] best 0.00900116 (fails 2) via undivide 0/rl
[ 21360 evals] best 0.00900774 (fails 2) via crossover l<->l
[ 85040 evals] best 0.0164136 (fails 1) via divide 1/rr
[ 85040 evals] checkpoint -> coldstart-500000-s2.dom.checkpoint (1 fails)
[ 85360 evals] best 0.016531 (fails 1) via level_retype 1/ll<->0/ll
[ 86000 evals] best 0.0165812 (fails 1) via core_undivide noop
[ 88080 evals] best 0.0166184 (fails 1) via core_undivide noop
[ 89120 evals] best 0.0166463 (fails 1) via level_compound_fix noop
[ 96560 evals] best 0.0166527 (fails 1) via crossover lrr<->lrr
