programme,start,seed,tail,hard,soft,total,score,elapsed_s
harbor-house,coldstart-500000-s0.dom,0,stock,8,25,33,1.85176240526207e-11,404.4
harbor-house,coldstart-500000-s0.dom,0,daylight,8,25,33,1.851517350881417e-11,416.3
harbor-house,coldstart-500000-s0.dom,0,daylight+ramp,8,25,33,1.8518718977543974e-11,417.2
harbor-house,coldstart-500000-s2.dom,0,stock,12,30,42,3.0491865573276097e-14,359.0
harbor-house,coldstart-500000-s2.dom,0,daylight,12,29,41,6.661352760846375e-14,350.4
harbor-house,coldstart-500000-s2.dom,0,daylight+ramp,12,29,41,6.661352760846375e-14,354.2
maple-court,coldstart-500000-s1.dom,0,stock,17,56,73,4.626623187133073e-25,444.5
maple-court,coldstart-500000-s1.dom,0,daylight,17,56,73,4.629224482642245e-25,444.9
maple-court,coldstart-500000-s1.dom,0,daylight+ramp,17,56,73,4.626281900486264e-25,445.4
harbor-house,coldstart-500000-s0.dom,1,stock,8,24,32,3.749216704165142e-11,409.1
harbor-house,coldstart-500000-s0.dom,1,daylight,8,24,32,3.749216704165142e-11,402.9
harbor-house,coldstart-500000-s0.dom,1,daylight+ramp,8,24,32,3.749216704165142e-11,426.7
harbor-house,coldstart-500000-s2.dom,1,stock,12,30,42,3.0491865573276097e-14,360.2
harbor-house,coldstart-500000-s2.dom,1,daylight,12,30,42,3.021280012052432e-14,358.8
harbor-house,coldstart-500000-s2.dom,1,daylight+ramp,12,30,42,3.021280012052432e-14,360.5
maple-court,coldstart-500000-s1.dom,1,stock,17,56,73,4.629596572120101e-25,444.7
maple-court,coldstart-500000-s1.dom,1,daylight,17,56,73,4.629537324035372e-25,445.6
maple-court,coldstart-500000-s1.dom,1,daylight+ramp,17,56,73,4.629661078538839e-25,451.4
harbor-house,coldstart-500000-s1.dom,0,stock,7,36,43,1.4676873187056738e-15,371.6
harbor-house,coldstart-500000-s1.dom,0,daylight,7,36,43,1.4279256079115516e-15,365.7
harbor-house,coldstart-500000-s1.dom,0,daylight+ramp,7,36,43,1.4471555875579166e-15,367.8
maple-court,coldstart-500000-s0.dom,0,stock,18,35,53,1.1458353761153645e-17,483.1
maple-court,coldstart-500000-s0.dom,0,daylight,18,35,53,1.1157421264309815e-17,460.2
maple-court,coldstart-500000-s0.dom,0,daylight+ramp,18,35,53,1.1157421264309815e-17,460.3
maple-court,coldstart-500000-s2.dom,0,stock,12,43,55,4.278297968488281e-18,486.9
maple-court,coldstart-500000-s2.dom,0,daylight,12,43,55,4.233509295989948e-18,493.6
maple-court,coldstart-500000-s2.dom,0,daylight+ramp,12,43,55,4.222956305534923e-18,492.3
harbor-house,coldstart-500000-s1.dom,1,stock,7,36,43,1.4676873187056738e-15,383.3
harbor-house,coldstart-500000-s1.dom,1,daylight,7,36,43,1.4300738018707186e-15,369.5
harbor-house,coldstart-500000-s1.dom,1,daylight+ramp,7,36,43,1.446954136586141e-15,372.1
maple-court,coldstart-500000-s0.dom,1,stock,17,37,54,6.645342661051106e-18,492.1
maple-court,coldstart-500000-s0.dom,1,daylight,17,37,54,6.616462252949126e-18,485.1
maple-court,coldstart-500000-s0.dom,1,daylight+ramp,17,37,54,6.616462252949126e-18,481.5
maple-court,coldstart-500000-s2.dom,1,stock,12,43,55,4.258152742657858e-18,494.6
maple-court,coldstart-500000-s2.dom,1,daylight,12,43,55,4.2111608639490995e-18,508.6
maple-court,coldstart-500000-s2.dom,1,daylight+ramp,12,43,55,4.220427466489337e-18,483.7
