programme,start,seed,tail,hard,soft,total,score,elapsed_s
harbor-house,coldstart-500000-s0.dom,0,gaussian,8,25,33,1.85176240526207e-11,403.6
harbor-house,coldstart-500000-s0.dom,0,ramp,8,25,33,1.85176240526207e-11,413.5
harbor-house,coldstart-500000-s2.dom,0,gaussian,12,30,42,3.0491865573276097e-14,364.4
harbor-house,coldstart-500000-s2.dom,0,ramp,12,30,42,3.0491865573276097e-14,361.9
maple-court,coldstart-500000-s1.dom,0,gaussian,17,56,73,4.626623187133073e-25,445.0
maple-court,coldstart-500000-s1.dom,0,ramp,17,56,73,4.626281900486264e-25,443.8
harbor-house,coldstart-500000-s0.dom,1,gaussian,8,24,32,3.749216704165142e-11,417.1
harbor-house,coldstart-500000-s0.dom,1,ramp,8,24,32,3.749216704165142e-11,425.6
harbor-house,coldstart-500000-s2.dom,1,gaussian,12,30,42,3.0491865573276097e-14,355.6
harbor-house,coldstart-500000-s2.dom,1,ramp,12,30,42,3.0491865573276097e-14,364.3
maple-court,coldstart-500000-s1.dom,1,gaussian,17,56,73,4.629596572120101e-25,442.4
maple-court,coldstart-500000-s1.dom,1,ramp,17,56,73,4.629661078538839e-25,444.8
harbor-house,coldstart-500000-s1.dom,0,gaussian,7,36,43,1.4676873187056738e-15,373.2
harbor-house,coldstart-500000-s1.dom,0,ramp,7,36,43,1.4676873187056738e-15,375.2
maple-court,coldstart-500000-s0.dom,0,gaussian,18,35,53,1.1458353761153645e-17,483.1
maple-court,coldstart-500000-s0.dom,0,ramp,18,35,53,1.1458353761153645e-17,462.6
maple-court,coldstart-500000-s2.dom,0,gaussian,12,43,55,4.278297968488281e-18,481.2
maple-court,coldstart-500000-s2.dom,0,ramp,12,43,55,4.267745195711144e-18,481.8
harbor-house,coldstart-500000-s1.dom,1,gaussian,7,36,43,1.4676873187056738e-15,378.6
harbor-house,coldstart-500000-s1.dom,1,ramp,7,36,43,1.4676873187056738e-15,380.1
maple-court,coldstart-500000-s0.dom,1,gaussian,17,37,54,6.645342661051106e-18,456.4
maple-court,coldstart-500000-s0.dom,1,ramp,17,37,54,6.645342661051106e-18,478.6
maple-court,coldstart-500000-s2.dom,1,gaussian,12,43,55,4.258152742657858e-18,517.1
maple-court,coldstart-500000-s2.dom,1,ramp,12,43,55,4.258152742657858e-18,515.6
