arm	programme	seed	klass	level	lid	width	aspect	area	q_width	q_proportion	q_size	q_crinkliness	old_proportion	old_size
baseline	programme-house	0	c	0	lrl	1.971	1.005	3.915	0.100	1.000	1.000	0.897	1.000	0.962
baseline	programme-house	0	c	0	rrr	1.971	1.098	4.329	0.100	1.000	1.000	0.963	1.000	0.953
baseline	programme-house	0	o	1	l	3.268	2.044	22.862	1.000	1.000	1.000	1.000	0.554	0.264
baseline	programme-house	0	c	1	rrr	1.971	1.098	4.329	0.100	1.000	1.000	0.415	1.000	0.953
baseline	programme-house	1	c	0	lll	3.030	1.080	10.142	1.000	1.000	1.000	0.744	1.000	0.769
baseline	programme-house	1	c	0	llr	2.003	1.627	6.681	0.140	1.000	1.000	0.750	0.968	0.892
baseline	programme-house	1	o	1	lll	3.030	1.080	10.142	1.000	1.000	1.000	1.000	1.000	0.769
baseline	programme-house	1	c	1	llr	2.003	1.627	6.681	0.140	1.000	1.000	0.529	0.968	0.892
baseline	programme-house	1	c	1	rrl	1.971	1.233	4.808	0.101	1.000	1.000	0.662	1.000	0.943
baseline	programme-house	2	c	0	lll	2.003	1.633	6.705	0.140	1.000	1.000	0.743	0.965	0.892
baseline	programme-house	2	c	0	llr	1.971	1.664	6.615	0.100	1.000	1.000	0.739	0.947	0.894
baseline	programme-house	2	c	0	lr	3.474	1.181	14.337	1.000	1.000	1.000	0.693	1.000	0.592
baseline	programme-house	2	c	1	lll	2.003	1.633	6.705	0.140	1.000	1.000	0.743	0.965	0.892
baseline	programme-house	2	o	1	r	3.445	1.939	24.097	1.000	1.000	1.000	1.000	0.681	0.227
baseline	programme-house	2	c	2	lll	2.003	1.633	6.705	0.140	1.000	1.000	0.744	0.965	0.892
baseline	programme-house	2	o	2	lr	3.474	1.181	14.337	1.000	1.000	1.000	1.000	1.000	0.592
baseline	health-centre	0	o	0	lllll	2.870	1.428	11.879	0.910	1.000	1.000	1.000	1.000	0.698
baseline	health-centre	0	c	0	llllrl	2.091	1.226	5.367	0.304	1.000	1.000	0.998	1.000	0.929
baseline	health-centre	0	c	0	lllrr	2.052	2.606	11.004	0.220	1.000	1.000	0.923	0.087	0.734
baseline	health-centre	0	c	0	llrll	3.236	1.223	12.939	1.000	1.000	1.000	0.793	1.000	0.652
baseline	health-centre	0	o	0	llrlr	2.391	1.658	9.571	0.127	1.000	1.000	1.000	0.951	0.792
