objective	programme	seed	budget	fails	hard	soft	score	elapsed_s	dom
055d710	programme-house	0	500000	1	0	1	0.00587685	19400.4	coldstart-055d710-500000-s0.dom
055d710	health-centre	0	500000	4	2	2	0.0011747	130593.0	coldstart-055d710-500000-s0.dom
055d710	harbor-house	0	500000	33	8	25	1.68969e-11	160951.3	coldstart-055d710-500000-s0.dom
055d710	harbor-house	1	500000	43	7	36	1.44523e-15	166958.6	coldstart-055d710-500000-s1.dom
055d710	programme-house	1	500000	1	1	0	0.0053408	17970.5	coldstart-055d710-500000-s1.dom
055d710	maple-court	0	500000	54	18	36	5.52881e-18	224214.4	coldstart-055d710-500000-s0.dom
055d710	health-centre	1	500000	9	5	4	0.000101292	124903.7	coldstart-055d710-500000-s1.dom
055d710	maple-court	1	500000	73	17	56	4.61196e-25	207119.5	coldstart-055d710-500000-s1.dom
055d710	harbor-house	2	500000	42	12	30	3.04107e-14	158582.9	coldstart-055d710-500000-s2.dom
055d710	programme-house	2	500000	1	0	1	0.00226757	26225.8	coldstart-055d710-500000-s2.dom
055d710	health-centre	2	500000	5	3	2	0.00146757	112528.9	coldstart-055d710-500000-s2.dom
055d710	maple-court	2	500000	55	11	44	4.66229e-18	197092.6	coldstart-055d710-500000-s2.dom
99c85ec	programme-house	0	500000	2	0	2	0.00907475		coldstart-99c85ec-500000-s0.dom
99c85ec	health-centre	0	500000	5	2	3	0.0155085		coldstart-99c85ec-500000-s0.dom
99c85ec	harbor-house	0	500000	26	5	21	4.3309e-10		coldstart-99c85ec-500000-s0.dom
99c85ec	harbor-house	1	500000	25	2	23	2.9622e-09		coldstart-99c85ec-500000-s1.dom
99c85ec	maple-court	0	500000	50	12	38	3.38469e-16		coldstart-99c85ec-500000-s0.dom
99c85ec	programme-house	1	500000	1	1	0	0.21942		coldstart-99c85ec-500000-s1.dom
99c85ec	health-centre	1	500000	4	2	2	0.0295666		coldstart-99c85ec-500000-s1.dom
99c85ec	maple-court	1	500000	59	18	41	6.21685e-19	242229.5	coldstart-99c85ec-500000-s1.dom
99c85ec	programme-house	2	500000	1	0	1	0.0166568	21110.8	coldstart-99c85ec-500000-s2.dom
99c85ec	health-centre	2	500000	6	2	4	0.0074654	120606.9	coldstart-99c85ec-500000-s2.dom
99c85ec	harbor-house	2	500000	39	6	33	4.04502e-14	171649.3	coldstart-99c85ec-500000-s2.dom
99c85ec	maple-court	2	500000	51	9	42	1.01956e-16	208789.3	coldstart-99c85ec-500000-s2.dom
1138ff1+orth	programme-house	0	500000	1	1	0	0.215975	19510.6	coldstart-1138ff1+orth-500000-s0.dom
1138ff1+orth	health-centre	0	500000	5	3	2	0.0176178	118843.5	coldstart-1138ff1+orth-500000-s0.dom
1138ff1+orth	harbor-house	0	500000	27	4	23	2.41019e-10	178724.8	coldstart-1138ff1+orth-500000-s0.dom
1138ff1+orth	maple-court	0	500000	64	17	47	8.90435e-21	216740.8	coldstart-1138ff1+orth-500000-s0.dom
1138ff1+orth	harbor-house	1	500000	34	4	30	4.76695e-12	198695.1	coldstart-1138ff1+orth-500000-s1.dom
1138ff1+orth	programme-house	1	500000	2	1	1	0.109802	19824.2	coldstart-1138ff1+orth-500000-s1.dom
1138ff1+orth	health-centre	1	500000	5	4	1	0.0168056	121406.0	coldstart-1138ff1+orth-500000-s1.dom
1138ff1+orth	maple-court	1	500000	55	13	42	6.95443e-19	215472.7	coldstart-1138ff1+orth-500000-s1.dom
1138ff1+orth	programme-house	2	500000	1	0	1	0.230875	19530.6	coldstart-1138ff1+orth-500000-s2.dom
1138ff1+orth	harbor-house	2	500000	30	9	21	3.08883e-10	165037.0	coldstart-1138ff1+orth-500000-s2.dom
1138ff1+orth	health-centre	2	500000	6	3	3	0.00798116	108036.4	coldstart-1138ff1+orth-500000-s2.dom
1138ff1+orth	maple-court	2	500000	54	9	45	1.1623e-18	187615.4	coldstart-1138ff1+orth-500000-s2.dom
c836457+orth	programme-house	1	500000	2	1	1	0.00839347	5500.1	coldstart-c836457+orth-500000-s1.dom
c836457+orth	programme-house	0	500000	1	1	0	0.209333	5958.6	coldstart-c836457+orth-500000-s0.dom
c836457+orth	health-centre	0	500000	4	2	2	0.0304391	36232.9	coldstart-c836457+orth-500000-s0.dom
c836457+orth	health-centre	1	500000	5	3	2	0.0181681	37241.0	coldstart-c836457+orth-500000-s1.dom
c836457+orth	programme-house	2	500000	1	1	0	0.213387	6370.1	coldstart-c836457+orth-500000-s2.dom
c836457+orth	harbor-house	0	500000	29	3	26	4.87023e-11	51436.4	coldstart-c836457+orth-500000-s0.dom
c836457+orth	harbor-house	2	500000	25	10	15	1.10991e-08	49211.0	coldstart-c836457+orth-500000-s2.dom
c836457+orth	harbor-house	1	500000	27	3	24	1.14794e-09	56672.3	coldstart-c836457+orth-500000-s1.dom
