current	1	on	5	9
current	1	off	8	6
current	2	on	5	8
current	2	off	8	5
current	3	on	9	7
current	3	off	8	6
current	4	on	9	8
current	4	off	10	6
current	5	on	9	8
current	5	off	8	6
current	6	on	8	8
current	6	off	11	6
current	7	on	8	7
current	7	off	9	6
current	8	on	8	8
current	8	off	7	7
current	9	on	6	7
current	9	off	9	6
current	10	on	4	8
current	10	off	7	6
current	11	on	5	7
current	11	off	5	6
current	12	on	7	9
current	12	off	6	6
current	13	on	6	8
current	13	off	8	6
current	14	on	8	8
current	14	off	7	6
current	15	on	6	7
current	15	off	8	6
current	16	on	8	7
current	16	off	8	6
current	17	on	9	8
current	17	off	7	6
current	18	on	7	7
current	18	off	8	6
current	19	on	9	7
current	19	off	8	5
current	20	on	7	8
current	20	off	7	6
current	21	on	5	8
current	21	off	5	7
current	22	on	8	8
current	22	off	9	6
current	23	on	8	8
current	23	off	9	6
current	24	on	7	8
current	24	off	8	6
current	25	on	7	9
current	25	off	9	6
current	26	on	8	8
current	26	off	10	6
current	27	on	9	8
current	27	off	10	6
current	28	on	5	8
current	28	off	8	6
current	29	on	6	8
current	29	off	8	6
current	30	on	5	8
current	30	off	7	6
current	31	on	10	8
current	31	off	9	6
current	32	on	10	8
current	32	off	7	6
current	33	on	3	8
current	33	off	7	6
current	34	on	6	8
current	34	off	8	6
current	35	on	8	8
current	35	off	5	6
current	36	on	8	8
current	36	off	7	6
current	37	on	5	7
current	37	off	4	5
current	38	on	5	8
current	38	off	5	6
current	39	on	8	8
current	39	off	7	7
current	40	on	7	7
current	40	off	5	6
current	41	on	10	8
current	41	off	7	6
current	42	on	8	7
current	42	off	8	5
current	43	on	7	7
current	43	off	8	6
current	44	on	7	8
current	44	off	7	6
current	45	on	6	7
current	45	off	5	5
current	46	on	8	7
current	46	off	7	6
current	47	on	6	9
current	47	off	9	6
current	48	on	8	8
current	48	off	10	6
current	49	on	8	8
current	49	off	10	6
current	50	on	7	7
current	50	off	7	6
current	51	on	7	8
current	51	off	7	6
current	52	on	7	8
current	52	off	9	6
current	53	on	10	8
current	53	off	8	6
current	54	on	5	7
current	54	off	9	6
current	55	on	7	8
current	55	off	9	6
current	56	on	7	7
current	56	off	7	6
current	57	on	2	8
current	57	off	5	6
current	58	on	7	7
current	58	off	7	6
current	59	on	8	7
current	59	off	7	6
current	60	on	5	8
current	60	off	5	6
