arm	programme	seed	outdoor_fraction	outside_leaves	width_eligible	width_fails
baseline	programme-house	0	0.221	1	1	0
baseline	programme-house	1	0.098	1	1	0
baseline	programme-house	2	0.293	3	2	0
baseline	health-centre	0	0.129	5	5	0
baseline	health-centre	1	0.096	4	4	0
baseline	health-centre	2	0.123	7	7	1
baseline	harbor-house	0	0.197	9	7	0
baseline	harbor-house	1	0.131	10	7	2
baseline	harbor-house	2	0.173	7	5	2
baseline	maple-court	0	0.145	17	11	0
baseline	maple-court	1	0.138	15	11	1
baseline	maple-court	2	0.141	13	10	1
bk9	programme-house	0	0.397	5	4	1
bk9	programme-house	1	0.117	1	1	0
bk9	programme-house	2	0.166	2	2	0
bk9	health-centre	0	0.165	5	5	0
bk9	health-centre	1	0.294	7	7	1
bk9	health-centre	2	0.185	5	5	3
bk9	harbor-house	0	0.101	10	7	1
bk9	harbor-house	1	0.141	10	8	3
bk9	harbor-house	2	0.052	6	5	3
bk9	maple-court	0	0.157	16	12	1
bk9	maple-court	1	0.137	13	7	0
bk9	maple-court	2	0.105	15	9	0
