arm	programme	seed	level	lid	type	klass	usage	width	w_target	w_edge	q_width	aspect	area	old_proportion	old_size	old_proportion_fail	old_size_fail	also_fails_crinkliness	covered	supported	verdict
baseline	health-centre	2	0	rrrrr	O	o	-	0.117	3.000	2.356	0.000	44.714	0.619	None	None	False	False	False	False	False	OUTSIDE (untouched by the removed caps)
baseline	harbor-house	1	0	lllrrrr	n	room	bedroom	1.250	5.000	2.854	0.001	2.590	4.082	None	None	False	False	True	False	False	REGRESSION (habitable room)
baseline	harbor-house	1	1	llrrrr	n	room	bedroom	1.242	5.000	2.854	0.001	1.720	2.669	None	None	False	False	False	False	True	REGRESSION (habitable room)
baseline	harbor-house	2	0	lrrllrr	C	c	-	1.200	2.400	1.971	0.000	3.021	4.396	0.010	0.952	True	False	False	True	False	RELABELLED (removed cap refused it)
baseline	harbor-house	2	1	lllrl	n	room	bedroom	1.254	5.000	2.854	0.001	2.828	4.486	None	None	False	False	True	False	True	REGRESSION (habitable room)
baseline	maple-court	1	2	lrrrl	O	o	-	1.456	3.000	2.356	0.000	3.633	7.729	None	None	False	False	False	False	True	OUTSIDE (untouched by the removed caps)
baseline	maple-court	2	0	rrlllr	C	c	-	1.221	2.400	1.971	0.000	3.953	5.930	0.000	0.914	True	False	False	True	False	RELABELLED (removed cap refused it)
bk9	programme-house	0	1	llr	O	o	-	1.524	3.000	2.356	0.000	1.822	4.317	None	None	False	False	False	False	True	OUTSIDE (untouched by the removed caps)
bk9	health-centre	1	0	rrlrl	C	c	-	1.607	2.400	1.971	0.000	2.307	5.964	0.272	0.913	False	False	False	False	False	NEW (corridor the old objective accepted)
bk9	health-centre	2	0	rlrlr	O	o	-	1.769	3.000	2.356	0.000	2.060	6.504	None	None	False	False	False	False	False	OUTSIDE (untouched by the removed caps)
bk9	health-centre	2	0	rlrrrr	C	c	-	0.204	2.400	1.971	0.000	17.124	0.719	0.000	0.999	True	False	False	False	False	RELABELLED (removed cap refused it)
bk9	health-centre	2	0	rrrrr	O	o	-	1.197	3.000	2.356	0.000	4.052	5.820	None	None	False	False	False	False	False	OUTSIDE (untouched by the removed caps)
bk9	harbor-house	0	1	llrllr	O	o	-	0.075	3.000	2.356	0.000	39.164	0.219	None	None	False	False	False	False	True	OUTSIDE (untouched by the removed caps)
bk9	harbor-house	1	0	llrrrr	n	room	bedroom	1.386	5.000	2.854	0.001	3.134	6.100	None	None	False	False	True	False	False	REGRESSION (habitable room)
bk9	harbor-house	1	1	llrrrr	O	o	-	1.386	3.000	2.356	0.000	3.134	6.100	None	None	False	False	False	False	True	OUTSIDE (untouched by the removed caps)
bk9	harbor-house	1	1	rrlrrr	n	room	bedroom	1.210	5.000	2.854	0.001	2.238	3.302	None	None	False	False	False	False	True	REGRESSION (habitable room)
bk9	harbor-house	2	0	llrrrr	n	room	bedroom	1.241	5.000	2.854	0.001	1.777	2.752	None	None	False	False	True	True	False	REGRESSION (habitable room)
bk9	harbor-house	2	0	rlrr	O	o	-	0.896	3.000	2.356	0.000	11.808	9.732	None	None	False	False	False	False	False	OUTSIDE (untouched by the removed caps)
bk9	harbor-house	2	1	rlllrl	n	room	bedroom	0.671	5.000	2.854	0.000	6.634	3.022	None	None	False	False	False	False	True	REGRESSION (habitable room)
bk9	maple-court	0	2	lllr	O	o	-	2.154	3.000	2.356	0.019	3.693	17.208	None	None	False	False	False	False	True	OUTSIDE (untouched by the removed caps)
